,Year,CountyName,SchoolName,GradeLow,GradeHigh,CongressUS,SenateCA,AssemblyCA,LocaleDistrict,AfricanAmericanPct,AmericanIndianPct,AsianPct,FilipinoPct,HispanicPct,MulitpleRacePct,PacificIslanderPct,WhitePct,RaceNotReportedPct,EnglishLearnerPct,FosterPct,HomelessPct,MigrantPct,DisabilityPct,SocioEconDisadvantagePct,Unduplicated,UnduplicatedPct,CCPrepPct,AbsentPct,GradPct,UCCSUReqMetPct,DropOutPct,EnrollCumulative,SuspPct,SHAPE_Length,SHAPE_Area,target,smallenrollment,mediumenrollment,largeenrollment,xlenrollment,charterpct,noncharterpct,unified,elem,high,suburban,rural,town,city,assistance
0,2018-19,Alameda,Alameda Unified,KG,12,13,09,18,21,7.3000002,0.2,25.299999,6.0999999,17.4,11.6,0.60000002,28.799999,2.5999999,14.2,0.2,0.60000002,0.0,11.4,31.299999,3144,33.5,56.799999,9.3999996,88.900002,58.900002,5.1999998,11600.0,2.5999999,57196.403944056794,47333036.9225418,1,0,0,0,1,16.6696269982238,83.33037300177621,1,0,0,1,0,0,0,1
1,2018-19,Alameda,Albany City Unified,KG,12,13,09,15,21,3.0,0.1,28.9,1.3,16.1,13.9,0.2,31.6,5.0999999,15.8,0.1,0.30000001,0.0,8.5,21.1,1118,30.4,62.599998,6.4000001,94.699997,63.900002,1.7,3830.0,1.9,12870.7721555487,7161276.07563407,1,0,0,1,0,0.0,100.0,1,0,0,1,0,0,0,0
2,2018-19,Alameda,Berkeley Unified,KG,12,13,09,15,12,14.1,0.2,7.1999998,0.80000001,23.9,14.4,0.1,39.200001,0.1,9.3000002,0.2,2.5999999,0.0,11.3,32.700001,3275,33.400002,63.299999,9.6999998,87.400002,83.300003,10.7,10534.0,1.4,44426.2874050564,43763892.6214156,1,0,0,0,1,3.757112026682362,96.24288797331764,1,0,0,0,0,0,1,1
3,2018-19,Alameda,Castro Valley Unified,KG,12,"13,15","07,09,10","18,20",21,5.3000002,0.2,27.4,4.5,23.799999,9.8000002,0.5,26.799999,1.7,11.0,0.1,0.69999999,0.0,8.6000004,24.6,2739,29.6,57.099998,7.400000099999999,92.599998,55.900002,3.0,9532.0,2.2,142338.494091194,283320488.767983,1,0,0,0,1,0.0,100.0,1,0,0,1,0,0,0,0
4,2018-19,Alameda,Emery Unified,KG,12,13,09,15,21,43.900002,0.1,11.2,1.5,24.9,8.300000200000001,1.1,9.0,0.0,21.5,0.1,0.89999998,0.0,7.400000099999999,80.800003,613,83.099998,22.5,20.5,100.0,40.0,0.0,780.0,3.5999999,13762.8692917948,5368211.51359322,0,0,1,0,0,0.0,100.0,1,0,0,1,0,0,0,1
5,2018-19,Alameda,Fremont Unified,KG,12,"15,17",10,"20,25",21,1.9,0.2,64.0,5.0999999,14.5,2.8,0.60000002,10.5,0.40000001,13.1,0.1,0.5,0.2,9.3999996,20.6,9733,27.700001,71.800003,5.5,92.900002,55.799999,5.5,36814.0,1.7,164514.790603387,320337965.40180403,1,0,0,0,1,1.0353364843574162,98.96466351564258,1,0,0,1,0,0,0,1
6,2018-19,Alameda,Hayward Unified,KG,12,15,10,20,12,8.3999996,0.2,8.1000004,7.0,64.599998,3.5,3.2,4.8000002,0.2,27.9,0.30000001,3.4000001,1.7,10.7,72.800003,15484,77.800003,35.400002,14.9,83.900002,52.599998,9.6999998,23555.0,4.5999999,87111.9697209311,143074522.61433402,0,0,0,0,1,11.025205577404362,88.97479442259564,1,0,0,0,0,0,1,1
7,2018-19,Alameda,Livermore Valley Joint Unified,KG,12,"11,15",07,"14,16,20",23,1.5,0.30000001,8.8999996,3.0999999,31.0,8.199999799999999,0.30000001,46.799999,0.1,10.6,0.1,0.5,1.4,13.1,25.700001,3794,27.6,54.400002,5.0999999,94.099998,48.5,2.3,13870.0,3.0,206097.40749532,1104155549.54392,1,0,0,0,1,0.0,100.0,1,0,0,1,0,0,0,0
8,2018-19,Alameda,Mountain House Elementary,KG,8,15,07,16,41,0.0,5.9000001,0.0,0.0,41.200001,5.9000001,23.5,23.5,0.0,35.299999,0.0,0.0,0.0,11.8,64.699997,11,64.699997,,33.299999,,,,21.0,0.0,55768.4593951384,124796523.28138301,0,1,0,0,0,0.0,100.0,0,1,0,0,1,0,0,0
9,2018-19,Alameda,Newark Unified,KG,12,17,10,25,21,3.5,0.2,14.6,8.6999998,53.400002,4.5999999,1.9,12.5,0.60000002,22.5,0.1,2.5999999,1.6,11.9,50.700001,3190,55.799999,35.0,6.6999998,87.0,33.200001,7.400000099999999,5997.0,3.7,39914.3924038993,58021105.0149534,0,0,0,1,0,0.0,100.0,1,0,0,1,0,0,0,1
